round_epochs,loss,val_loss,lr,first_neuron,batch_size,epochs,dropout,loss,last_activation,weight_regulizer
12,0.606439471244812,1.1978753805160522,0.1,16,4,200,0.12,categorical_crossentropy,softmax,None
15,0.6063525080680847,1.196431279182434,0.1,16,4,200,0.16,categorical_crossentropy,softmax,None
12,0.6063159704208374,1.2008017301559448,0.1,16,4,200,0.2,categorical_crossentropy,softmax,None
15,0.6063346862792969,1.2034459114074707,0.1,16,4,200,0.24,categorical_crossentropy,softmax,None
12,0.6063594222068787,1.205000638961792,0.1,16,4,200,0.28,categorical_crossentropy,softmax,None
11,0.6063541173934937,1.2073546648025513,0.1,16,4,200,0.32,categorical_crossentropy,softmax,None
13,0.6062468886375427,1.2102296352386475,0.1,16,4,200,0.36,categorical_crossentropy,softmax,None
12,0.6062406301498413,1.2099946737289429,0.1,32,2,200,0.0,categorical_crossentropy,softmax,None
12,0.6062607765197754,1.2128045558929443,0.1,32,2,200,0.04,categorical_crossentropy,softmax,None
13,0.6063565611839294,1.2135502099990845,0.1,32,2,200,0.08,categorical_crossentropy,softmax,None
12,0.6063403487205505,1.2164788246154785,0.1,32,2,200,0.12,categorical_crossentropy,softmax,None
14,0.6063689589500427,1.2179622650146484,0.1,32,2,200,0.16,categorical_crossentropy,softmax,None
22,0.6062679290771484,1.2212474346160889,0.1,32,2,200,0.2,categorical_crossentropy,softmax,None
21,0.6062500476837158,1.2236326932907104,0.1,32,2,200,0.24,categorical_crossentropy,softmax,None
13,0.6063956022262573,1.2238432168960571,0.1,32,2,200,0.28,categorical_crossentropy,softmax,None
17,0.6062906384468079,1.2253671884536743,0.1,32,2,200,0.32,categorical_crossentropy,softmax,None
11,0.6063403487205505,1.2273528575897217,0.1,32,2,200,0.36,categorical_crossentropy,softmax,None
16,0.6062949895858765,1.227136492729187,0.1,32,3,200,0.0,categorical_crossentropy,softmax,None
11,0.6065141558647156,1.2299264669418335,0.1,32,3,200,0.04,categorical_crossentropy,softmax,None
17,0.6061920523643494,1.2306777238845825,0.1,32,3,200,0.08,categorical_crossentropy,softmax,None
14,0.6063574552536011,1.2310423851013184,0.1,32,3,200,0.12,categorical_crossentropy,softmax,None
11,0.6064882874488831,1.2306113243103027,0.1,32,3,200,0.16,categorical_crossentropy,softmax,None
22,0.6061851978302002,1.2334315776824951,0.1,32,3,200,0.2,categorical_crossentropy,softmax,None
11,0.6064924001693726,1.2340452671051025,0.1,32,3,200,0.24,categorical_crossentropy,softmax,None
16,0.6064010858535767,1.234722375869751,0.1,32,3,200,0.28,categorical_crossentropy,softmax,None
11,0.6063333749771118,1.233121633529663,0.1,32,3,200,0.32,categorical_crossentropy,softmax,None
12,0.6061825156211853,1.2344560623168945,0.1,32,3,200,0.36,categorical_crossentropy,softmax,None
11,0.6062136888504028,1.236212968826294,0.1,32,4,200,0.0,categorical_crossentropy,softmax,None
20,0.6063703298568726,1.2374351024627686,0.1,32,4,200,0.04,categorical_crossentropy,softmax,None
11,0.6064203977584839,1.2379878759384155,0.1,32,4,200,0.08,categorical_crossentropy,softmax,None
15,0.6063007712364197,1.2379162311553955,0.1,32,4,200,0.12,categorical_crossentropy,softmax,None
25,0.6062601804733276,1.2388361692428589,0.1,32,4,200,0.16,categorical_crossentropy,softmax,None
12,0.6064842343330383,1.2378368377685547,0.1,32,4,200,0.2,categorical_crossentropy,softmax,None
11,0.606214702129364,1.2393999099731445,0.1,32,4,200,0.24,categorical_crossentropy,softmax,None
11,0.6062479019165039,1.2414065599441528,0.1,32,4,200,0.28,categorical_crossentropy,softmax,None
16,0.6061967611312866,1.2423406839370728,0.1,32,4,200,0.32,categorical_crossentropy,softmax,None
25,0.6061866879463196,1.2403830289840698,0.1,32,4,200,0.36,categorical_crossentropy,softmax,None
12,0.6062605977058411,1.2418183088302612,0.1,64,2,200,0.0,categorical_crossentropy,softmax,None
23,0.6062460541725159,1.24320387840271,0.1,64,2,200,0.04,categorical_crossentropy,softmax,None
22,0.6060683727264404,1.2432509660720825,0.1,64,2,200,0.08,categorical_crossentropy,softmax,None
13,0.6061854958534241,1.2438510656356812,0.1,64,2,200,0.12,categorical_crossentropy,softmax,None
16,0.6061716675758362,1.2427009344100952,0.1,64,2,200,0.16,categorical_crossentropy,softmax,None
