algorithm,threshold,k,f1,std
deepfm,0.5700000000000001,50.0,0.25860690281156284,0.014081522269134169
deepfm,0.58,50.0,0.2591299974727593,0.014275867044073735
deepfm,0.59,50.0,0.2597117193571097,0.014385594563817392
deepfm,0.6,50.0,0.26040887109115246,0.014415056794278232
deepfm,0.61,50.0,0.26098666358721706,0.01448598253224054
deepfm,0.62,50.0,0.26169092841228064,0.01452936554814383
deepfm,0.63,50.0,0.2622645878197356,0.014572158619323405
deepfm,0.64,50.0,0.26296206285762297,0.014614163612271499
deepfm,0.65,50.0,0.2635622959097034,0.014521028794612886
deepfm,0.66,50.0,0.2642509382107951,0.014539173057828385
deepfm,0.67,50.0,0.2648709999587721,0.014431922510021232
deepfm,0.68,50.0,0.2655770525777847,0.014546383650030536
deepfm,0.6900000000000001,50.0,0.2662008965410565,0.014490330948644548
deepfm,0.7000000000000001,50.0,0.26682481160765303,0.014649958447418317
deepfm,0.71,50.0,0.26761527062538043,0.014753833256051715
deepfm,0.72,50.0,0.2684814622588588,0.014980338545094613
deepfm,0.73,50.0,0.269240004762411,0.015109120505078157
deepfm,0.74,50.0,0.26999595208842414,0.015028966230668218
deepfm,0.75,50.0,0.27087249829403065,0.015157599387897397
deepfm,0.76,50.0,0.27172054174827714,0.015269205609549232
deepfm,0.77,50.0,0.27279124733614574,0.015262146099213418
deepfm,0.78,50.0,0.27395894115664116,0.015352940971776946
deepfm,0.79,50.0,0.27490842866915877,0.0152770793643659
deepfm,0.8,50.0,0.2760250374041187,0.015546521273062296
deepfm,0.81,50.0,0.2771115709974162,0.015421596066973806
deepfm,0.8200000000000001,50.0,0.2782840711641423,0.015364438482649368
deepfm,0.8300000000000001,50.0,0.279628473653765,0.015286820075852811
deepfm,0.84,50.0,0.28115716556122256,0.015438844254255811
deepfm,0.85,50.0,0.2826679549471754,0.01544718098587559
deepfm,0.86,50.0,0.283949807724716,0.015478818264937595
deepfm,0.87,50.0,0.2857588925994567,0.015580649316988888
deepfm,0.88,50.0,0.287512956120713,0.015377972552590359
deepfm,0.89,50.0,0.28926555560568434,0.01530228974517054
deepfm,0.9,50.0,0.2913922201135331,0.015297140864082995
deepfm,0.91,50.0,0.2939733737209434,0.015308234092145729
deepfm,0.92,50.0,0.29631138141675256,0.01564086160056599
deepfm,0.93,50.0,0.2992376851849643,0.015996726723052617
deepfm,0.9400000000000001,50.0,0.3020667470594299,0.01509299727406233
deepfm,0.9500000000000001,50.0,0.305723971329728,0.014692673473116532
deepfm,0.96,50.0,0.30960519464144176,0.015508797144247959
deepfm,0.97,50.0,0.31279844209918,0.015463838854296086
deepfm,0.98,50.0,0.3147796323632434,0.019126425007128935
deepfm,0.99,50.0,0.3076736165236383,0.02577995615278318
